Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,0.22,0.215383023802,-0.0046169761976,-0.00238395913264
2,0.24,0.235539171736,-0.00446082826405,-0.00209400645655
3,0.26,0.256404371694,-0.00359562830611,-0.00189192359063
4,0.28,0.277110197261,-0.00288980273908,-0.00190793865424
5,0.3,0.296733058333,-0.00326694166661,-0.0016121664876
6,0.32,0.315625403118,-0.00437459688232,-0.000198846248761
7,0.34,0.335007259113,-0.00499274088733,0.0028438603922
8,0.36,0.354719036692,-0.00528096330751,0.00308185027655
9,0.38,0.375483672379,-0.00451632762067,0.00450978230998
10,0.4,0.395599881272,-0.00440011872837,0.00386740792859
1,0.22,0.217320796795,-0.00267920320519,-0.00249133761653
2,0.24,0.238260418741,-0.00173958125906,0.000582268885261
3,0.26,0.256725454345,-0.00327454565529,-0.000849083412539
4,0.28,0.277484012324,-0.00251598767579,-0.000775254539526
5,0.3,0.296384694977,-0.00361530502345,-0.000359225864307
6,0.32,0.31640391169,-0.00359608830981,0.000792607550124
7,0.34,0.335781734956,-0.00421826504351,0.00396604999678
8,0.36,0.354270800922,-0.00572919907818,0.00175531890516
9,0.38,0.374855741674,-0.00514425832612,0.00166378259285
10,0.4,0.396137678196,-0.00386232180393,0.00192133279581
1,0.22,0.217536291373,-0.00246370862735,-0.00155273398862
2,0.24,0.237321285581,-0.00267871441932,0.00106733368168
3,0.26,0.256846525457,-0.00315347454313,-0.000186313851869
4,0.28,0.276749041026,-0.00325095897416,7.49444277068e-05
5,0.3,0.297039269278,-0.00296073072218,-0.000687500127196
6,0.32,0.317549701313,-0.00245029868731,0.00140953307394
7,0.34,0.336817400205,-0.00318259979454,0.00385763433264
8,0.36,0.355534841405,-0.00446515859533,0.000357201665317
9,0.38,0.374161715443,-0.00583828455694,0.000183839711397
10,0.4,0.396495207629,-0.00350479237055,0.00151881181436
1,0.22,0.216546897202,-0.00345310279816,-0.000911931063463
2,0.24,0.238799562788,-0.00120043721231,0.00226381371807
3,0.26,0.256979347917,-0.00302065208284,0.0018959243524
4,0.28,0.276759686624,-0.00324031337627,-0.000604007000124
5,0.3,0.297158523992,-0.00284147600813,-0.000818612811396
6,0.32,0.316244726217,-0.00375527378253,0.000746342416425
7,0.34,0.337074073304,-0.00292592669633,0.00398368396099
8,0.36,0.356193235844,-0.00380676415646,0.00180657219816
9,0.38,0.374197299753,-0.0058027002469,0.00155018088002
10,0.4,0.39596371351,-0.00403628649021,0.00231002608567
1,0.22,0.217094265827,-0.00290573417345,-0.000188006312624
2,0.24,0.237383983007,-0.0026160169927,0.000506602481685
3,0.26,0.256256703141,-0.00374329685932,-0.000551420557439
4,0.28,0.275631914137,-0.00436808586261,-0.000176209995588
5,0.3,0.29753924745,-0.00246075255043,-9.63949554562e-05
6,0.32,0.316280807743,-0.00371919225668,0.00139071145676
7,0.34,0.335919526382,-0.00408047361773,0.00321727762729
8,0.36,0.355934684352,-0.00406531564794,0.000919468537531
9,0.38,0.375842678261,-0.00415732173929,0.000141976627908
10,0.4,0.395889553577,-0.0041104464232,0.00239407008104
1,0.22,0.216214930969,-0.00378506903101,-0.00190425850277
2,0.24,0.236934430819,-0.003065569181,0.000964289878414
3,0.26,0.257117457022,-0.00288254297771,0.00088971887071
4,0.28,0.276544860911,-0.00345513908945,-0.00128037621502
5,0.3,0.296322875676,-0.00367712432398,-0.000933651699291
6,0.32,0.316166874468,-0.00383312553153,0.00101184600971
7,0.34,0.335550326424,-0.00444967357607,0.00331587399563
8,0.36,0.354041385929,-0.00595861407085,0.00238278077683
9,0.38,0.375554424885,-0.00444557511549,0.00180699158535
10,0.4,0.397765381191,-0.00223461880863,0.00288211625814
1,0.22,0.217997881545,-0.00200211845502,0.000779826586431
2,0.24,0.238170104388,-0.00182989561222,0.00174715327132
3,0.26,0.258037979813,-0.00196202018691,0.00125578129975
4,0.28,0.276422216765,-0.00357778323478,-0.0013117756237
5,0.3,0.29643573497,-0.00356426502993,0.000480021004922
6,0.32,0.31582821884,-0.00417178116044,0.000955191263967
7,0.34,0.336212741721,-0.00378725827888,0.00351443137444
8,0.36,0.355712324386,-0.00428767561412,0.00239207754966
9,0.38,0.374906316494,-0.0050936835063,0.000647349684002
10,0.4,0.395923912514,-0.00407608748566,0.00202973457559
1,0.22,0.215913526651,-0.00408647334896,-0.0001254856387
2,0.24,0.236869978182,-0.00313002181753,-0.00151051993936
3,0.26,0.258020610454,-0.00197938954608,0.00110866965046
4,0.28,0.276832624923,-0.00316737507694,-0.000245177455323
5,0.3,0.29688303183,-0.00311696817018,-0.000385876586227
6,0.32,0.316944499907,-0.00305550009316,0.000697643524035
7,0.34,0.336923226911,-0.00307677308898,0.00397752336846
8,0.36,0.355908151059,-0.00409184894053,0.0019449360166
9,0.38,0.374322576011,-0.00567742398912,0.00141908497084
10,0.4,0.395013113624,-0.00498688637618,0.00239623437633
1,0.22,0.216969467786,-0.00303053221393,0.000680246772996
2,0.24,0.238290044321,-0.00170995567863,0.00128853337185
3,0.26,0.257617086319,-0.00238291368104,0.000418684279801
4,0.28,0.277816085867,-0.00218391413315,-0.000209400401095
5,0.3,0.297253286809,-0.00274671319109,-0.00124415338891
6,0.32,0.316189187216,-0.00381081278432,-0.00106808099186
7,0.34,0.335487600886,-0.00451239911388,0.00277682512238
8,0.36,0.354642853021,-0.00535714697924,0.00212711295064
9,0.38,0.375054910574,-0.00494508942603,0.00152332327074
10,0.4,0.396031953532,-0.00396804646843,0.00226343099445
1,0.22,0.216617201637,-0.00338279836297,-0.00115522473783
2,0.24,0.23755390194,-0.00244609805962,0.00120636577728
3,0.26,0.256960351241,-0.00303964875868,0.000329151584499
4,0.28,0.276586777782,-0.00341322221753,0.000109111367764
5,0.3,0.296683480405,-0.00331651959515,-0.0014197389475
6,0.32,0.316175371134,-0.00382462886614,0.000673702405418
7,0.34,0.335532386071,-0.00446761392948,0.00270374923561
8,0.36,0.355629361501,-0.00437063849855,0.000418252070909
9,0.38,0.374715528365,-0.00528447163521,0.000434021579422
10,0.4,0.395313475964,-0.00468652403604,0.00151955269984
